Date,ARRIVAL_DELAY,MONTH,DAY,DAY_OF_WEEK,AIR_TIME,DEPARTURE_TIME,DISTANCE,AIRLINE,FLIGHT_NUMBER,DESTINATION_AIRPORT,ORIGIN_AIRPORT
1990-01-03,-6.0,1,1,4,78.0,540.0,395,B6,515,BUF,BOS
1990-01-09,-35.0,1,1,4,263.0,547.0,2434,UA,228,EWR,PDX
1990-01-10,4.0,1,1,4,234.0,545.0,1488,US,641,PHX,IND
1990-01-07,-9.0,1,1,4,118.0,550.0,862,UA,495,DEN,LAX
1990-01-04,43.0,1,1,4,170.0,629.0,1091,UA,507,IAH,CLE
1990-01-08,-19.0,1,1,4,46.0,552.0,200,UA,1553,EWR,BOS
1990-01-06,-10.0,1,1,4,91.0,550.0,602,US,403,PHX,DEN
1990-01-10,-5.0,1,1,4,159.0,544.0,1044,US,446,PHX,MCI
1990-01-07,-1.0,1,1,4,36.0,548.0,190,AA,1178,DFW,AUS
1990-01-08,2.0,1,1,4,150.0,600.0,1235,AA,2410,DFW,LAX
1990-01-06,0.0,1,1,4,28.0,550.0,153,DL,2453,ATL,GSP
1990-01-06,-7.0,1,1,4,127.0,548.0,937,B6,2228,EWR,MCO
1990-01-03,1.0,1,1,4,110.0,548.0,643,EV,4555,IAH,MCI
1990-01-06,-19.0,1,1,4,58.0,543.0,326,EV,5698,IAD,BDL
1990-01-05,13.0,1,1,4,195.0,548.0,1157,EV,4339,IAH,RIC
1990-01-07,20.0,1,1,4,125.0,556.0,845,OO,6204,DEN,BFL
1990-01-10,-19.0,1,1,4,198.0,557.0,1482,OO,6261,SFO,SAT
1990-01-06,21.0,1,1,4,120.0,605.0,781,OO,5160,IAH,OMA
1990-01-09,6.0,1,1,4,130.0,549.0,898,OO,6224,DEN,RDM
1990-01-06,9.0,1,1,4,162.0,551.0,1173,B6,860,BDL,FLL
1990-01-03,-17.0,1,1,4,84.0,554.0,694,EV,5230,ATL,CID
1990-01-05,-2.0,1,1,4,132.0,553.0,967,WN,526,DEN,SFO
1990-01-03,4.0,1,1,4,310.0,557.0,2218,UA,1222,LAX,MCO
1990-01-08,-13.0,1,1,4,131.0,549.0,997,UA,1507,EWR,TPA
1990-01-04,16.0,1,1,4,216.0,555.0,1660,AA,1094,DFW,SEA
1990-01-08,-10.0,1,1,4,243.0,551.0,1562,AA,1233,DFW,BOS
1990-01-10,-13.0,1,1,4,43.0,550.0,209,B6,115,JFK,SYR
1990-01-06,-17.0,1,1,4,48.0,550.0,264,B6,185,JFK,ROC
1990-01-08,-9.0,1,1,4,25.0,546.0,102,EV,2519,DFW,TYR
1990-01-03,-12.0,1,1,4,58.0,554.0,403,EV,3928,ORD,MCI
1990-01-03,6.0,1,1,4,39.0,555.0,179,EV,3941,ORD,LAN
1990-01-03,226.0,1,1,4,48.0,928.0,282,EV,5976,EWR,BUF
1990-01-10,-22.0,1,1,4,65.0,538.0,445,EV,5677,EWR,GSO
1990-01-08,27.0,1,1,4,92.0,547.0,733,NK,224,LGA,ORD
1990-01-06,-16.0,1,1,4,160.0,555.0,1379,UA,1457,IAH,LAX
1990-01-04,-13.0,1,1,4,149.0,552.0,1085,AA,1205,MIA,EWR
1990-01-03,116.0,1,1,4,123.0,758.0,819,OO,5547,DEN,ONT
1990-01-05,-23.0,1,1,4,100.0,556.0,680,UA,210,DEN,MSP
1990-01-07,-3.0,1,1,4,146.0,555.0,956,UA,214,IAH,PBI
1990-01-04,123.0,1,1,4,118.0,751.0,1009,UA,247,IAH,PHX
1990-01-09,-1.0,1,1,4,133.0,600.0,861,UA,256,IAH,RSW
1990-01-08,-18.0,1,1,4,135.0,603.0,937,UA,319,MCO,EWR
1990-01-07,-6.0,1,1,4,57.0,612.0,416,UA,374,ORD,OMA
1990-01-04,12.0,1,1,4,90.0,551.0,647,US,635,PHX,SMF
1990-01-07,8.0,1,1,4,88.0,558.0,646,US,646,PHX,OAK
1990-01-05,-14.0,1,1,4,114.0,555.0,683,US,1941,CLT,PVD
1990-01-04,14.0,1,1,4,120.0,557.0,804,UA,422,DEN,RNO
1990-01-04,24.0,1,1,4,175.0,622.0,1117,UA,544,IAH,PIT
1990-01-09,-4.0,1,1,4,114.0,552.0,862,UA,1016,IAH,DEN
1990-01-07,-26.0,1,1,4,63.0,556.0,369,WN,4122,BWI,BOS
1990-01-09,-25.0,1,1,4,230.0,602.0,2106,WN,4822,BWI,LAS
1990-01-04,22.0,1,1,4,103.0,607.0,759,WN,2215,HOU,ABQ
1990-01-04,-6.0,1,1,4,76.0,601.0,507,WN,676,SLC,PHX
1990-01-03,-26.0,1,1,4,132.0,559.0,994,WN,2787,FLL,PIT
1990-01-06,-13.0,1,1,4,63.0,606.0,327,WN,4859,BWI,PVD
1990-01-07,-16.0,1,1,4,253.0,554.0,2139,WN,597,ATL,SFO
1990-01-05,-4.0,1,1,4,222.0,557.0,1846,UA,1158,ORD,SFO
1990-01-08,-18.0,1,1,4,126.0,555.0,937,UA,1163,EWR,MCO
1990-01-08,11.0,1,1,4,224.0,613.0,1825,UA,1188,IAH,PDX
1990-01-09,-11.0,1,1,4,146.0,557.0,867,UA,1198,ORD,BOS
1990-01-08,-11.0,1,1,4,52.0,605.0,337,UA,1224,LAX,SFO
1990-01-06,-3.0,1,1,4,170.0,616.0,1211,UA,1296,LAX,SAT
1990-01-07,-5.0,1,1,4,376.0,603.0,2611,UA,1431,LAX,BOS
1990-01-03,-14.0,1,1,4,268.0,606.0,2402,UA,1637,EWR,SEA
1990-01-03,-16.0,1,1,4,201.0,607.0,1744,UA,1735,ORD,LAX
1990-01-05,-4.0,1,1,4,155.0,553.0,1009,US,410,PHX,IAH
1990-01-08,10.0,1,1,4,273.0,557.0,1849,US,459,PHX,MCO
1990-01-09,3.0,1,1,4,87.0,557.0,651,US,610,PHX,SFO
1990-01-10,3.0,1,1,4,120.0,606.0,985,AA,72,MCO,DFW
1990-01-04,14.0,1,1,4,148.0,604.0,1013,AA,196,PHL,MIA
1990-01-03,12.0,1,1,4,137.0,601.0,989,AA,304,DFW,SLC
1990-01-06,-1.0,1,1,4,166.0,559.0,1121,AA,281,DFW,MIA
1990-01-10,31.0,1,1,4,124.0,643.0,946,AA,233,MIA,BWI
1990-01-10,-5.0,1,1,4,154.0,554.0,1389,AA,1100,LGA,DFW
1990-01-07,-27.0,1,1,4,106.0,601.0,888,AA,1028,ORD,DEN
1990-01-05,3.0,1,1,4,80.0,606.0,460,AA,1039,DFW,MCI
1990-01-09,-11.0,1,1,4,48.0,556.0,237,AA,1345,DFW,TUL
1990-01-04,50.0,1,1,4,151.0,708.0,1096,AA,1297,MIA,LGA
1990-01-10,-10.0,1,1,4,56.0,555.0,304,AA,1411,DFW,LIT
1990-01-08,-9.0,1,1,4,149.0,558.0,1096,AA,1084,LGA,MIA
1990-01-03,7.0,1,1,4,128.0,557.0,1055,AA,1088,DFW,LAS
1990-01-03,-3.0,1,1,4,206.0,556.0,1616,AA,1534,DFW,PDX
1990-01-08,-20.0,1,1,4,139.0,554.0,929,AA,1573,DFW,TPA
1990-01-05,31.0,1,1,4,190.0,611.0,1431,AA,1660,DFW,SMF
1990-01-06,-13.0,1,1,4,82.0,555.0,675,AA,2204,MIA,MSY
1990-01-06,-26.0,1,1,4,202.0,557.0,1744,AA,1515,ORD,LAX
1990-01-10,5.0,1,1,4,91.0,554.0,583,AA,2307,DFW,OMA
1990-01-04,30.0,1,1,4,39.0,610.0,175,AA,2363,DFW,OKC
1990-01-03,-13.0,1,1,4,195.0,557.0,1448,AS,81,ANC,SEA
1990-01-10,-9.0,1,1,4,44.0,544.0,261,AS,162,ANC,FAI
1990-01-10,-9.0,1,1,4,99.0,550.0,697,AS,200,SJC,SEA
1990-01-03,-16.0,1,1,4,92.0,555.0,671,AS,342,OAK,SEA
1990-01-04,-13.0,1,1,4,82.0,555.0,569,AS,406,SJC,PDX
1990-01-07,-9.0,1,1,4,141.0,555.0,954,AS,477,SEA,LAX
1990-01-09,-12.0,1,1,4,151.0,555.0,1107,AS,631,SEA,PHX
1990-01-10,-34.0,1,1,4,137.0,549.0,1024,AS,683,SEA,DEN
1990-01-04,3.0,1,1,4,42.0,558.0,224,AS,699,SEA,GEG
1990-01-08,-2.0,1,1,4,141.0,557.0,1074,B6,130,JFK,RSW
1990-01-06,9.0,1,1,4,141.0,559.0,1028,B6,154,JFK,PBI
1990-01-07,-22.0,1,1,4,142.0,554.0,1028,B6,353,PBI,JFK
1990-01-09,-5.0,1,1,4,130.0,553.0,1005,B6,226,JFK,TPA
1990-01-09,2.0,1,1,4,143.0,559.0,1076,B6,272,LGA,FLL
1990-01-03,-10.0,1,1,4,60.0,552.0,353,B6,447,LGB,OAK
1990-01-06,-6.0,1,1,4,150.0,600.0,1076,B6,371,FLL,LGA
1990-01-05,-19.0,1,1,4,135.0,557.0,944,B6,583,MCO,JFK
1990-01-04,-21.0,1,1,4,145.0,556.0,1065,B6,605,FLL,EWR
1990-01-06,-1.0,1,1,4,157.0,554.0,1005,B6,525,TPA,JFK
1990-01-03,-5.0,1,1,4,225.0,557.0,1617,B6,746,JFK,PSE
1990-01-07,-18.0,1,1,4,140.0,550.0,1182,B6,776,JFK,MSY
1990-01-03,-10.0,1,1,4,175.0,559.0,1521,B6,794,JFK,AUS
1990-01-10,15.0,1,1,4,225.0,601.0,1576,B6,838,JFK,BQN
1990-01-04,-12.0,1,1,4,151.0,554.0,1185,B6,892,BOS,TPA
1990-01-06,8.0,1,1,4,109.0,600.0,828,B6,1678,JFK,JAX
1990-01-07,1.0,1,1,4,62.0,557.0,399,B6,1790,BOS,DCA
1990-01-10,-19.0,1,1,4,117.0,605.0,760,DL,421,ATL,JFK
1990-01-05,-1.0,1,1,4,97.0,604.0,502,DL,731,DTW,LGA
1990-01-06,18.0,1,1,4,68.0,600.0,422,DL,743,SLC,RNO
1990-01-10,-8.0,1,1,4,44.0,556.0,187,DL,750,JFK,BOS
1990-01-07,2.0,1,1,4,186.0,600.0,1124,DL,809,MSP,BOS
1990-01-08,-32.0,1,1,4,111.0,601.0,762,DL,904,ATL,LGA
1990-01-05,-21.0,1,1,4,80.0,602.0,606,DL,977,ATL,ORD
1990-01-08,-40.0,1,1,4,266.0,557.0,2519,DL,1088,MSP,ANC
1990-01-08,-32.0,1,1,4,97.0,601.0,765,DL,1098,ATL,ATW
1990-01-10,107.0,1,1,4,169.0,804.0,1587,DL,1205,ATL,PHX
1990-01-07,-20.0,1,1,4,41.0,554.0,271,DL,1234,ATL,PNS
1990-01-03,-10.0,1,1,4,280.0,554.0,1931,DL,1235,SLC,MCO
1990-01-10,-1.0,1,1,4,130.0,605.0,919,AA,913,MIA,DCA
1990-01-04,-28.0,1,1,4,75.0,554.0,481,DL,1961,ATL,RIC
1990-01-04,-20.0,1,1,4,213.0,559.0,1947,DL,2154,ATL,LAX
1990-01-04,-22.0,1,1,4,144.0,558.0,946,DL,2282,ATL,BOS
1990-01-03,-22.0,1,1,4,187.0,559.0,1749,DL,2417,DTW,LAS
1990-01-03,-3.0,1,1,4,85.0,550.0,761,DL,1540,ATL,OKC
1990-01-04,-7.0,1,1,4,196.0,550.0,1310,DL,1574,MSP,MCO
1990-01-05,-6.0,1,1,4,45.0,617.0,332,DL,1700,ATL,MEM
1990-01-07,-24.0,1,1,4,80.0,555.0,674,DL,1867,ATL,TUL
1990-01-06,-19.0,1,1,4,69.0,551.0,409,DL,1937,DTW,BWI
1990-01-07,-21.0,1,1,4,61.0,554.0,280,B6,159,PHL,BOS
1990-01-04,2.0,1,1,4,129.0,557.0,950,B6,198,LGA,MCO
1990-01-04,17.0,1,1,4,146.0,610.0,1069,B6,1502,JFK,FLL
1990-01-10,59.0,1,1,4,248.0,627.0,1598,B6,1504,JFK,SJU
1990-01-09,-23.0,1,1,4,72.0,552.0,399,B6,1600,DCA,BOS
1990-01-09,10.0,1,1,4,128.0,559.0,772,EV,2533,DFW,TYS
1990-01-10,-4.0,1,1,4,153.0,555.0,843,EV,4213,ORD,MHT
1990-01-10,85.0,1,1,4,98.0,726.0,708,EV,4431,EWR,SAV
1990-01-10,-20.0,1,1,4,120.0,552.0,946,EV,4411,EWR,MEM
1990-01-03,18.0,1,1,4,109.0,559.0,599,EV,4756,ORD,CLT
1990-01-03,-2.0,1,1,4,58.0,553.0,419,EV,4768,IAD,TYS
1990-01-08,-10.0,1,1,4,34.0,556.0,173,EV,4740,ORD,GRB
1990-01-09,-20.0,1,1,4,84.0,552.0,425,EV,5103,DTW,ABE
1990-01-10,-10.0,1,1,4,51.0,559.0,341,EV,5275,ATL,JAN
1990-01-03,-3.0,1,1,4,69.0,552.0,399,EV,5491,ATL,OAJ
1990-01-03,0.0,1,1,4,78.0,603.0,557,EV,5978,ORD,FAR
1990-01-09,-19.0,1,1,4,99.0,556.0,677,EV,5917,ORD,JAN
1990-01-07,19.0,1,1,4,79.0,616.0,398,EV,6133,ORD,ERI
1990-01-09,0.0,1,1,4,37.0,600.0,160,EV,6082,ORD,ATW
1990-01-07,-11.0,1,1,4,65.0,556.0,323,EV,6122,ORD,LEX
1990-01-03,-3.0,1,1,4,47.0,550.0,212,EV,6143,ORD,CWA
1990-01-06,-22.0,1,1,4,142.0,556.0,1062,F9,1104,FLL,CLE
1990-01-09,-6.0,1,1,4,237.0,552.0,1635,F9,1057,SFO,IAH
1990-01-04,0.0,1,1,4,131.0,605.0,1024,F9,144,DEN,SEA
1990-01-05,1.0,1,1,4,209.0,552.0,1635,F9,1056,IAH,SFO
1990-01-08,-11.0,1,1,4,109.0,557.0,701,F9,901,ATL,TTN
1990-01-08,24.0,1,1,4,98.0,619.0,701,F9,902,TTN,ATL
1990-01-06,-4.0,1,1,4,36.0,553.0,216,HA,202,ITO,HNL
1990-01-10,3.0,1,1,4,64.0,555.0,427,MQ,3350,JFK,RDU
1990-01-07,-7.0,1,1,4,123.0,556.0,948,MQ,3355,MIA,CVG
1990-01-06,-12.0,1,1,4,73.0,555.0,530,MQ,3540,MIA,PNS
1990-01-09,-5.0,1,1,4,87.0,600.0,661,MQ,3488,MIA,BHM
1990-01-06,-8.0,1,1,4,68.0,551.0,407,NK,188,LAS,OAK
1990-01-05,-29.0,1,1,4,188.0,600.0,1457,NK,925,OAK,DFW
1990-01-04,86.0,1,1,4,141.0,742.0,982,NK,943,RSW,ACY
1990-01-08,58.0,1,1,4,67.0,558.0,502,NK,316,LGA,DTW
1990-01-03,35.0,1,1,4,131.0,603.0,1119,NK,972,FLL,DFW
1990-01-06,-2.0,1,1,4,61.0,551.0,373,OO,2622,LAX,SMF
1990-01-10,8.0,1,1,4,49.0,600.0,300,OO,6360,DEN,RAP
1990-01-04,6.0,1,1,4,108.0,604.0,751,OO,6369,SFO,TUS
1990-01-04,-29.0,1,1,4,43.0,552.0,268,OO,5330,ORD,EAU
1990-01-06,-4.0,1,1,4,58.0,556.0,397,OO,5292,ORD,DLH
1990-01-09,2.0,1,1,4,67.0,557.0,462,OO,6276,ORD,FSD
1990-01-07,-16.0,1,1,4,213.0,556.0,1504,OO,6235,SFO,AUS
1990-01-09,3.0,1,1,4,110.0,557.0,748,OO,3489,SEA,FAT
1990-01-04,-19.0,1,1,4,119.0,550.0,838,OO,3461,PDX,ONT
1990-01-09,-3.0,1,1,4,30.0,550.0,153,OO,7423,BRD,INL
1990-01-03,30.0,1,1,4,89.0,639.0,674,OO,5242,LAX,BOI
1990-01-08,5.0,1,1,4,39.0,604.0,174,OO,5462,ORD,SPI
1990-01-07,88.0,1,1,4,24.0,654.0,86,OO,5466,LAX,CLD
1990-01-09,-1.0,1,1,4,58.0,559.0,391,OO,5550,DEN,COD
1990-01-05,7.0,1,1,4,37.0,600.0,158,OO,5574,SFO,FAT
1990-01-05,-11.0,1,1,4,137.0,555.0,990,MQ,3221,MIA,CMH
1990-01-06,4.0,1,1,4,115.0,601.0,852,OO,5522,DEN,PSC
1990-01-10,9.0,1,1,4,39.0,604.0,230,OO,5592,DEN,CPR
1990-01-04,10.0,1,1,4,69.0,550.0,250,OO,5604,SFO,ACV
1990-01-06,12.0,1,1,4,41.0,622.0,216,OO,5170,IAH,DAL
1990-01-04,-23.0,1,1,4,66.0,551.0,342,OO,5429,ORD,PAH
1990-01-05,-1.0,1,1,4,89.0,556.0,620,OO,5435,SFO,PSC
1990-01-06,-1.0,1,1,4,43.0,610.0,196,OO,6378,ORD,CID
1990-01-10,-7.0,1,1,4,69.0,557.0,451,OO,6401,SFO,EUG
1990-01-03,9.0,1,1,4,100.0,556.0,641,OO,6332,DEN,DFW
1990-01-05,-12.0,1,1,4,21.0,555.0,77,OO,6346,SFO,MRY
1990-01-09,-6.0,1,1,4,85.0,604.0,590,OO,6465,LAX,SLC
1990-01-03,-21.0,1,1,4,47.0,558.0,306,OO,7392,DTW,ESC
1990-01-10,-6.0,1,1,4,55.0,557.0,329,OO,6403,SFO,MFR
1990-01-09,33.0,1,1,4,132.0,559.0,844,OO,6497,DEN,FAT
1990-01-05,-23.0,1,1,4,292.0,552.0,2565,UA,576,EWR,SFO
1990-01-10,-7.0,1,1,4,149.0,601.0,1222,UA,1410,IAH,LAS
